,time,latitude,longitude,elevation_gain
102,2021-03-22 19:46:00+00:00,44.530592,-69.725757,314.0
103,2021-04-24 15:30:58+00:00,43.796759,-70.331313,450.10000000000014
104,2021-04-27 22:15:55+00:00,44.561353,-69.665519,264.20000000000005
105,2021-05-08 17:23:35+00:00,44.320624,-69.78517,377.1
106,2021-05-17 14:36:59+00:00,45.054025,-70.307476,396.99999999999983
107,2021-05-25 20:42:46+00:00,44.062795,-71.166883,190.7
108,2021-05-26 14:51:08+00:00,44.059619,-71.072181,106.59999999999988
109,2021-07-04 21:23:02+00:00,47.63118,-122.32025,267.0
110,2021-07-10 20:45:08+00:00,47.575165,-121.980882,237.9
111,2021-07-16 00:44:58+00:00,47.623215,-122.286764,130.5
112,2021-07-25 19:41:19+00:00,47.488154,-121.94711,875.0999999999992
113,2021-08-03 02:06:03+00:00,47.488157,-121.947284,614.3000000000002
114,2021-08-07 02:05:38+00:00,47.48814,-121.947294,774.0999999999995
115,2021-08-11 02:12:36+00:00,47.581872,-122.246246,288.6
116,2021-08-17 01:42:53+00:00,47.488084,-121.947191,635.9999999999998
117,2021-08-17 19:29:08+00:00,47.032334,-121.492292,1183.5999999999985
118,2021-09-04 19:29:10+00:00,49.335436,-122.980448,323.0999999999999
119,2021-09-05 18:19:52+00:00,49.358879,-123.052303,550.1999999999998
120,2021-12-19 21:56:10+00:00,46.910701,-121.494755,1029.499999999993
121,2022-01-18 23:54:42+00:00,47.630735,-122.294648,80.49999999999999
122,2022-01-26 00:58:54+00:00,47.630552,-122.294161,70.1
123,2022-02-10 20:36:46+00:00,47.626439,-122.292401,63.39999999999999
124,2022-03-02 22:50:10+00:00,47.626841,-122.312618,112.60000000000001
125,2022-03-10 01:14:35+00:00,47.624487,-122.303498,150.0
126,2022-03-22 01:30:09+00:00,47.625242,-122.302368,117.0
127,2022-03-23 19:03:27+00:00,47.6114,-122.291377,133.4
128,2022-03-26 18:33:29+00:00,49.338671,-122.97685,562.3999999999999
129,2022-04-02 20:10:01+00:00,48.708208,-122.392796,666.9
130,2022-04-09 00:28:55+00:00,47.473522,-121.926278,351.6
131,2022-04-13 00:33:55+00:00,47.610545,-122.289574,245.20000000000002
132,2022-04-14 23:23:52+00:00,47.615461,-122.291414,151.0
133,2022-04-20 00:26:42+00:00,47.479697,-121.936056,368.2000000000003
134,2022-04-23 00:46:36+00:00,47.486608,-121.833057,465.19999999999965
135,2022-04-25 19:37:23+00:00,47.488222,-121.947311,947.0999999999997
136,2022-05-06 02:06:59+00:00,47.629004,-122.315148,161.50000000000003
137,2022-05-07 21:00:28+00:00,48.708972,-122.392229,984.8
138,2022-06-22 02:22:40+00:00,47.488129,-121.947209,759.600000000001
139,2022-06-24 21:27:05+00:00,47.614203,-122.291499,240.9
140,2022-06-28 21:39:41+00:00,47.602012,-122.296888,82.9
141,2022-07-15 01:42:19+00:00,47.638151,-122.364934,244.2
142,2022-07-26 01:18:27+00:00,47.631397,-122.35458,151.2
143,2022-08-17 02:09:34+00:00,47.654626,-122.412493,225.0
144,2022-09-05 17:26:47+00:00,48.709908,-122.392186,390.1000000000001
145,2022-09-15 01:47:51+00:00,47.515293,-121.997755,493.5
146,2022-09-26 23:46:31+00:00,47.632506,-122.355655,172.90000000000003
147,2022-09-28 00:57:21+00:00,47.654615,-122.412501,145.79999999999998
148,2022-10-02 19:22:41+00:00,47.471484,-121.832415,861.9000000000001
149,2022-12-01 04:17:39+00:00,47.41583,-121.423823,356.79999999999905
150,2022-12-19 19:54:44+00:00,47.75661,-121.092357,628.2000000000005
151,2023-01-02 19:52:40+00:00,47.313068,-120.544135,794.6000000000022
152,2022-12-31 20:08:08+00:00,47.767989,-121.055767,1048.8999999999992
153,2023-01-08 19:54:51+00:00,47.315231,-120.539205,1041.4000000000033
154,2023-01-21 19:51:17+00:00,47.469297,-121.430633,2302.6000000000017
155,2023-02-05 21:28:28+00:00,47.429027,-121.396089,1518.1999999999957
156,2023-02-11 20:06:05+00:00,47.758829,-120.967669,3190.100000000002
157,2023-02-15 03:43:39+00:00,47.386283,-121.406918,387.6000000000006
158,2023-02-18 18:47:06+00:00,47.762301,-120.973892,1453.6999999999994
159,2023-02-26 21:01:30+00:00,47.383155,-121.339869,1563.199999999997
160,2023-03-11 19:41:21+00:00,46.938756,-121.450545,1528.9999999999986
161,2023-03-15 15:34:44+00:00,47.444923,-121.408431,1202.7999999999965
162,2023-04-15 17:02:23+00:00,47.314911,-120.570007,2231.4000000000015
163,2023-05-09 02:36:33+00:00,47.490678,-121.945147,648.3000000000006
164,2023-05-12 02:34:49+00:00,47.490677,-121.945305,616.4999999999998
